cons_standings_ID,race_ID,constructor_ID,cumul_points,cumul_position
1630,174,1,162,2
1631,174,15,6,8
1632,174,19,4,9
1633,34,1,145,2
1634,34,2,135,3
1635,34,3,26,8
1636,34,4,72,4
1637,34,5,34,6
1638,34,6,156,1
1639,34,7,52,5
1640,34,9,29,7
1641,34,11,14,9
1642,34,10,0,10
1643,34,8,0,11
2055,191,1,16,1
2056,191,3,6,2
2057,191,6,3,3
2058,191,15,1,4
2059,191,22,0,5
2060,191,17,0,6
2061,191,20,0,7
2062,192,1,32,1
2063,192,3,8,2
2064,192,6,7,3
2065,192,15,1,5
2066,192,22,4,4
2067,192,17,0,6
2068,192,20,0,7
2069,192,24,0,8
2070,193,1,39,1
2071,193,3,8,3
2072,193,6,21,2
2073,193,15,3,5
2074,193,22,7,4
2075,193,17,0,6
2076,193,20,0,7
2077,193,24,0,8
2078,193,25,0,9
2079,193,18,0,10
2080,194,1,49,1
2081,194,3,13,3
2082,194,6,31,2
2083,194,15,4,5
2084,194,22,7,4
2085,194,17,0,6
2086,194,20,0,8
2087,194,24,0,10
2088,194,25,0,11
2089,194,18,0,7
2090,194,21,0,9
2091,195,1,65,1
2092,195,3,14,3
2093,195,6,35,2
2094,195,15,4,5
2095,195,22,10,4
2096,195,17,0,7
2097,195,20,0,9
2098,195,24,2,6
2099,195,25,0,11
2100,195,18,0,8
2101,195,21,0,10
2102,196,1,75,1
2103,196,3,16,4
2104,196,6,39,2
2105,196,15,4,6
2106,196,22,16,3
2107,196,17,0,8
2108,196,20,0,10
2109,196,24,2,7
2110,196,25,0,11
2111,196,18,0,9
2112,196,21,4,5
2113,197,1,75,1
2114,197,3,16,4
2115,197,6,53,2
2116,197,15,4,7
2117,197,22,25,3
2118,197,17,0,8
2119,197,20,0,11
2120,197,24,5,5
2121,197,25,0,10
2122,197,18,0,9
2123,197,21,4,6
2124,198,1,80,1
2125,198,3,19,4
2126,198,6,69,2
2127,198,15,4,7
2128,198,22,27,3
2129,198,17,0,8
2130,198,20,0,11
2131,198,24,5,5
2132,198,25,0,10
2133,198,18,0,9
2134,198,21,4,6
2135,199,1,86,1
2136,199,3,19,4
2137,199,6,83,2
2138,199,15,4,7
2139,199,22,32,3
2140,199,17,1,8
