driver_standings_ID,race_ID,driver_ID,cumul_points,cumul_position
3155,162,18,3,10
3156,162,50,0,15
3157,162,37,0,18
3158,162,60,0,21
3159,162,57,22,2
3160,162,14,20,3
3161,162,63,1,11
3162,162,56,0,14
3163,162,64,0,16
3164,162,65,0,20
3165,162,55,0,22
3166,163,30,46,1
3167,163,22,16,4
3168,163,23,12,5
3169,163,35,5,8
3170,163,21,10,6
3171,163,41,1,12
3172,163,25,0,15
3173,163,48,0,19
3174,163,2,0,21
3175,163,49,5,7
3176,163,15,4,9
3177,163,18,3,10
3178,163,50,0,17
3179,163,37,1,13
3180,163,60,0,18
3181,163,57,28,2
3182,163,14,24,3
3183,163,63,1,11
3184,163,56,0,16
3185,163,64,0,14
3186,163,65,0,22
3187,163,55,0,20
3188,164,30,46,1
3189,164,22,22,4
3190,164,23,12,6
3191,164,35,5,8
3192,164,21,14,5
3193,164,41,1,13
3194,164,25,0,16
3195,164,48,0,20
3196,164,2,0,18
3197,164,49,5,7
3198,164,15,4,9
3199,164,18,3,12
3200,164,50,0,17
3201,164,37,1,14
3202,164,60,0,19
3203,164,57,29,3
3204,164,14,34,2
3205,164,63,3,11
3206,164,56,3,10
3207,164,64,0,15
3208,164,65,0,21
3209,164,55,0,22
3210,165,30,56,1
3211,165,22,28,4
3212,165,23,12,6
3213,165,35,5,8
3214,165,21,18,5
3215,165,41,1,14
3216,165,25,0,17
3217,165,48,0,20
3218,165,2,0,18
3219,165,49,5,7
3220,165,15,5,9
3221,165,18,3,12
3222,165,50,2,13
3223,165,37,1,15
3224,165,60,0,19
3225,165,57,32,3
3226,165,14,34,2
3227,165,63,3,11
3228,165,56,3,10
3229,165,64,0,16
3230,165,65,0,21
3231,165,55,0,22
3232,166,30,56,1
3233,166,22,32,4
3234,166,23,14,6
3235,166,35,8,7
3236,166,21,18,5
3237,166,41,1,14
3238,166,25,0,17
3239,166,48,0,20
3240,166,2,0,18
3241,166,49,5,9
3242,166,15,6,8
3243,166,18,3,12
3244,166,50,2,13
3245,166,37,1,15
3246,166,60,0,19
3247,166,57,38,3
3248,166,14,44,2
3249,166,63,3,11
3250,166,56,3,10
3251,166,64,0,16
3252,166,65,0,21
3253,166,55,0,22
3254,167,30,56,1
3255,167,22,36,4
3256,167,23,14,6
3257,167,35,11,7
3258,167,21,18,5
3259,167,41,1,14
3260,167,25,0,17
3261,167,48,0,19
3262,167,2,0,20
3263,167,49,5,9
3264,167,15,6,8
3265,167,18,5,10
3266,167,50,2,13
3267,167,37,1,15
3268,167,60,0,21
3269,167,57,48,3
3270,167,14,50,2
3271,167,63,4,11
3272,167,56,3,12
3273,167,64,0,16
3274,167,65,0,18
3275,167,55,0,22
3276,167,54,0,23
3277,168,30,56,1
3278,168,22,46,4
3279,168,23,14,6
3280,168,35,11,7
3281,168,21,18,5
3282,168,41,1,15
3283,168,25,0,17
3284,168,48,0,19
3285,168,2,0,20
3286,168,49,5,11
3287,168,15,6,9
3288,168,18,8,8
3289,168,50,2,13
3290,168,37,2,14
3291,168,60,0,21
3292,168,57,54,3
3293,168,14,54,2
3294,168,63,6,10
3295,168,56,3,12
3296,168,64,0,16
3297,168,65,0,18
3298,168,55,0,22
3299,168,54,0,23
3300,169,30,62,2
3301,169,22,49,4
3302,169,23,16,6
3303,169,35,11,7
3304,169,21,18,5
3305,169,41,1,15
3306,169,25,0,17
3307,169,48,0,19
3308,169,2,0,20
3309,169,49,6,9
3310,169,15,6,10
3311,169,18,8,8
3312,169,50,2,13
3313,169,37,2,14
3314,169,60,0,21
3315,169,57,64,1
3316,169,14,58,3
3317,169,63,6,11
3318,169,56,3,12
3319,169,64,0,16
3320,169,65,0,18
3321,169,55,0,22
3322,169,54,0,23
3323,170,30,68,2
3324,170,22,49,4
3325,170,23,20,5
3326,170,35,11,7
3327,170,21,18,6
3328,170,41,1,15
3329,170,25,0,18
3330,170,48,0,19
3331,170,2,0,20
3332,170,49,7,9
3333,170,15,6,10
3334,170,18,10,8
3335,170,50,2,13
3336,170,37,2,14
3337,170,60,0,21
3338,170,57,74,1
3339,170,14,61,3
3340,170,63,6,11
3341,170,56,3,12
3342,170,64,0,16
3343,170,65,0,17
3344,170,55,0,22
3345,170,54,0,23
3346,171,30,78,2
3347,171,22,49,4
3348,171,23,24,5
3349,171,35,11,7
3350,171,21,18,6
3351,171,41,2,15
3352,171,25,2,14
3353,171,48,0,19
3354,171,2,0,20
3355,171,49,7,9
3356,171,15,6,10
3357,171,18,10,8
3358,171,50,5,12
3359,171,37,2,16
3360,171,60,0,21
3361,171,57,80,1
3362,171,14,61,3
3363,171,63,6,11
3364,171,56,3,13
3365,171,64,0,17
3366,171,65,0,18
3367,171,55,0,22
3368,171,54,0,23
3369,172,30,88,1
3370,172,22,55,4
3371,172,23,24,5
3372,172,35,14,7
3373,172,21,18,6
3374,172,41,3,14
3375,172,25,2,15
3376,172,48,0,19
3377,172,2,0,20
3378,172,49,11,8
3379,172,15,6,10
3380,172,18,10,9
3381,172,50,5,12
3382,172,37,2,16
3383,172,60,0,21
3384,172,57,80,2
3385,172,14,63,3
3386,172,63,6,11
3387,172,56,3,13
3388,172,64,0,17
3389,172,65,0,18
3390,172,55,0,22
3391,172,54,0,23
3392,173,30,98,1
3393,173,22,58,4
3394,173,23,24,5
