year,constructor_ID,constructor_name,entries,races,points,points_per_race,avg_starting_position,avg_finish_position,avg_position_change,q3_starts,q3_rate,issues,issue_rate,podiums,wins,final_constructor_position,final_constructor_points,is_mclaren
1965,180,Lotus-Ford,2,1,0.0,0.0,0.0,26.0,-26.0,0,0.0,2,1.0,0,0,14,0,0
1965,185,LDS-Alfa Romeo,2,1,0.0,0.0,10.0,20.0,-10.0,0,0.0,1,0.5,0,0,11,0,0
1965,170,Cooper-Climax,23,10,14.0,1.4,10.2609,12.4348,-2.1739,0,0.0,14,0.6087,1,0,5,14,0
1965,6,Ferrari,23,10,32.0,3.2,7.087,8.7826,-1.6957,0,0.0,9,0.3913,4,0,4,26,0
1965,181,Brabham-BRM,18,10,5.0,0.5,13.3333,11.1667,2.1667,0,0.0,6,0.3333,0,0,7,5,0
1965,183,Brabham-Climax,39,10,39.0,3.9,9.4615,10.5385,-1.0769,0,0.0,19,0.4872,6,0,3,27,0
1965,51,Alfa Romeo,1,1,0.0,0.0,17.0,10.0,7.0,0,0.0,0,0.0,0,0,10,0,0
1965,172,Lotus-Climax,28,10,64.0,6.4,6.25,10.5357,-4.2857,0,0.0,15,0.5357,7,6,1,54,0
1965,182,Brabham-Ford,2,1,0.0,0.0,17.5,11.5,6.0,0,0.0,0,0.0,0,0,9,0,0
1965,176,Lotus-BRM,20,10,2.0,0.2,13.95,12.55,1.4,0,0.0,11,0.55,0,0,8,2,0
1965,186,Cooper-Ford,2,2,0.0,0.0,0.0,21.5,-21.5,0,0.0,2,1.0,0,0,12,0,0
1965,184,LDS-Climax,1,1,0.0,0.0,0.0,23.0,-23.0,0,0.0,1,1.0,0,0,13,0,0
1965,93,RE,1,1,0.0,0.0,0.0,29.0,-29.0,0,0.0,1,1.0,0,0,15,0,0
1965,167,Cooper-Maserati,1,1,0.0,0.0,0.0,30.0,-30.0,0,0.0,1,1.0,0,0,16,0,0
1965,11,Honda,14,8,13.0,1.625,9.0714,12.0,-2.9286,0,0.0,8,0.5714,1,1,6,11,0
1964,176,Lotus-BRM,25,10,3.0,0.3,12.28,14.24,-1.96,0,0.0,18,0.72,0,0,8,3,0
1964,66,BRM,38,10,70.0,7.0,10.5526,9.7632,0.7895,0,0.0,13,0.3421,7,2,2,42,0
1964,6,Ferrari,22,10,64.0,6.4,5.7727,7.5455,-1.7727,0,0.0,8,0.3636,10,3,1,45,0
1964,170,Cooper-Climax,23,10,16.0,1.6,10.5217,11.5652,-1.0435,0,0.0,13,0.5652,2,0,5,16,0
1964,183,Brabham-Climax,33,10,36.0,3.6,7.2121,10.1212,-2.9091,0,0.0,17,0.5152,5,2,4,30,0
1964,172,Lotus-Climax,26,10,49.0,4.9,6.6154,8.3077,-1.6923,0,0.0,13,0.5,5,3,3,37,0
1964,94,BRP,14,8,5.0,0.625,12.4286,12.5,-0.0714,0,0.0,7,0.5,0,0,7,5,0
1964,92,Scirocco,3,3,0.0,0.0,6.6667,19.6667,-13.0,0,0.0,3,1.0,0,0,10,0,0
1964,181,Brabham-BRM,17,8,7.0,0.875,12.3529,13.5882,-1.2353,0,0.0,10,0.5882,1,0,6,7,0
1964,95,Porsche,1,1,0.0,0.0,17.0,17.0,0.0,0,0.0,1,1.0,0,0,12,0,0
1964,182,Brabham-Ford,1,1,0.0,0.0,19.0,23.0,-4.0,0,0.0,1,1.0,0,0,13,0,0
1964,11,Honda,3,3,0.0,0.0,15.3333,14.6667,0.6667,0,0.0,3,1.0,0,0,9,0,0
1964,96,Derrington,1,1,0.0,0.0,19.0,16.0,3.0,0,0.0,1,1.0,0,0,11,0,0
1963,26,Lola,16,10,0.0,0.0,12.5,14.1875,-1.6875,0,0.0,10,0.625,0,0,9,0,0
1963,66,BRM,27,10,65.0,6.5,5.7407,8.7778,-3.037,0,0.0,10,0.3704,10,2,2,36,0
1963,6,Ferrari,20,10,27.0,2.7,4.7,11.85,-7.15,0,0.0,13,0.65,3,1,4,26,0
1963,176,Lotus-BRM,34,10,4.0,0.4,11.9412,14.2059,-2.2647,0,0.0,23,0.6765,0,0,8,4,0
1963,170,Cooper-Climax,34,10,32.0,3.2,8.9118,10.5294,-1.6176,0,0.0,16,0.4706,4,0,5,25,0
1963,172,Lotus-Climax,36,10,74.0,7.4,6.5278,12.2778,-5.75,0,0.0,20,0.5556,9,7,1,54,0
1963,34,Brabham,20,10,33.0,3.3,6.15,9.35,-3.2,0,0.0,10,0.5,4,0,3,28,0
1963,54,ATS,17,9,0.0,0.0,10.4118,19.2353,-8.8235,0,0.0,15,0.8824,0,0,12,0,0
1963,95,Porsche,13,9,5.0,0.5556,12.5385,15.0769,-2.5385,0,0.0,6,0.4615,0,0,7,5,0
1963,92,Scirocco,14,7,0.0,0.0,8.4286,20.1429,-11.7143,0,0.0,14,1.0,0,0,11,0,0
1963,86,De Tomaso,3,3,0.0,0.0,0.0,23.6667,-23.6667,0,0.0,3,1.0,0,0,18,0,0
1963,94,BRP,5,5,6.0,1.2,8.8,10.8,-2.0,0,0.0,3,0.6,0,0,6,6,0
1963,97,Gilby,3,3,0.0,0.0,6.3333,21.3333,-15.0,0,0.0,3,1.0,0,0,17,0,0
1963,177,Lotus-Borgward,1,1,0.0,0.0,0.0,26.0,-26.0,0,0.0,1,1.0,0,0,20,0,0
1963,167,Cooper-Maserati,2,2,0.0,0.0,9.5,19.0,-9.5,0,0.0,1,0.5,0,0,14,0,0
1963,179,De Tomaso-Ferrari,1,1,0.0,0.0,0.0,28.0,-28.0,0,0.0,1,1.0,0,0,21,0,0
1963,173,Lotus-Maserati,1,1,0.0,0.0,0.0,33.0,-33.0,0,0.0,1,1.0,0,0,22,0,0
1963,98,Stebro,2,1,0.0,0.0,10.5,15.5,-5.0,0,0.0,1,0.5,0,0,10,0,0
1963,32,Team Lotus,1,1,0.0,0.0,0.0,23.0,-23.0,0,0.0,1,1.0,0,0,19,0,0
1963,51,Alfa Romeo,1,1,0.0,0.0,16.0,15.0,1.0,0,0.0,1,1.0,0,0,16,0,0
1963,89,LDS,2,1,0.0,0.0,17.5,15.5,2.0,0,0.0,1,0.5,0,0,13,0,0
1963,180,Lotus-Ford,1,1,0.0,0.0,15.0,14.0,1.0,0,0.0,0,0.0,0,0,15,0,0
1962,66,BRM,26,9,62.0,6.8889,4.0385,10.8462,-6.8077,0,0.0,12,0.4615,8,4,1,42,0
1962,26,Lola,18,9,19.0,2.1111,8.5556,13.2778,-4.7222,0,0.0,13,0.7222,2,0,4,19,0
1962,95,Porsche,30,9,20.0,2.2222,8.8667,12.4333,-3.5667,0,0.0,13,0.4333,2,1,5,18,0
1962,172,Lotus-Climax,65,9,42.0,4.6667,8.0,13.9692,-5.9692,0,0.0,38,0.5846,4,3,2,36,0
1962,170,Cooper-Climax,29,9,45.0,5.0,10.1724,9.7931,0.3793,0,0.0,9,0.3103,7,1,3,29,0
1962,6,Ferrari,21,6,30.0,5.0,10.5714,9.8095,0.7619,0,0.0,9,0.4286,4,0,6,18,0
1962,99,Emeryson,5,4,0.0,0.0,12.0,17.6,-5.6,0,0.0,4,0.8,0,0,9,0,0
1962,176,Lotus-BRM,14,7,1.0,0.1429,6.0,20.0,-14.0,0,0.0,12,0.8571,0,0,8,1,0
1962,175,De Tomaso-Alfa Romeo,1,1,0.0,0.0,0.0,23.0,-23.0,0,0.0,1,1.0,0,0,16,0,0
1962,32,Team Lotus,1,1,0.0,0.0,0.0,18.0,-18.0,0,0.0,1,1.0,0,0,14,0,0
1962,87,Cooper,1,1,0.0,0.0,16.0,12.0,4.0,0,0.0,1,1.0,0,0,11,0,0
1962,97,Gilby,3,3,0.0,0.0,6.3333,22.6667,-16.3333,0,0.0,3,1.0,0,0,15,0,0
1962,34,Brabham,3,3,6.0,2.0,10.6667,9.0,1.6667,0,0.0,1,0.3333,0,0,7,6,0
1962,100,ENB,1,1,0.0,0.0,25.0,16.0,9.0,0,0.0,0,0.0,0,0,10,0,0
1962,86,De Tomaso,1,1,0.0,0.0,0.0,30.0,-30.0,0,0.0,1,1.0,0,0,18,0,0
1962,177,Lotus-Borgward,1,1,0.0,0.0,0.0,31.0,-31.0,0,0.0,1,1.0,0,0,19,0,0
1962,174,De Tomaso-Osca,1,1,0.0,0.0,0.0,28.0,-28.0,0,0.0,1,1.0,0,0,17,0,0
1962,89,LDS,1,1,0.0,0.0,14.0,13.0,1.0,0,0.0,1,1.0,0,0,12,0,0
1962,178,Cooper-Alfa Romeo,1,1,0.0,0.0,15.0,15.0,0.0,0,0.0,1,1.0,0,0,13,0,0
1961,66,BRM,16,8,9.0,1.125,7.625,13.375,-5.75,0,0.0,8,0.5,1,0,5,7,0
1961,170,Cooper-Climax,52,8,24.0,3.0,11.2308,15.5769,-4.3462,0,0.0,27,0.5192,1,0,4,14,0
1961,95,Porsche,28,8,24.0,3.0,9.75,11.9286,-2.1786,0,0.0,7,0.25,3,0,3,22,0
1961,172,Lotus-Climax,69,8,44.0,5.5,12.5072,16.8116,-4.3043,0,0.0,40,0.5797,5,3,2,35,0
1961,99,Emeryson,5,4,0.0,0.0,0.0,27.0,-27.0,0,0.0,5,1.0,0,0,10,0,0
1961,6,Ferrari,27,7,99.0,14.1429,4.5556,7.7037,-3.1481,0,0.0,9,0.3333,14,5,1,45,0
1961,167,Cooper-Maserati,12,6,0.0,0.0,19.75,16.25,3.5,0,0.0,6,0.5,0,0,6,0,0
1961,174,De Tomaso-Osca,2,2,0.0,0.0,29.0,26.0,3.0,0,0.0,2,1.0,0,0,11,0,0
1961,101,JBW,2,2,0.0,0.0,15.5,27.0,-11.5,0,0.0,2,1.0,0,0,12,0,0
1961,97,Gilby,1,1,0.0,0.0,26.0,15.0,11.0,0,0.0,0,0.0,0,0,7,0,0
1961,102,Ferguson,2,1,0.0,0.0,20.0,19.0,1.0,0,0.0,2,1.0,0,0,,,0
1961,103,MBM,1,1,0.0,0.0,0.0,30.0,-30.0,0,0.0,1,1.0,0,0,13,0,0
1961,175,De Tomaso-Alfa Romeo,2,1,0.0,0.0,22.0,24.0,-2.0,0,0.0,2,1.0,0,0,9,0,0
1961,173,Lotus-Maserati,1,1,0.0,0.0,30.0,15.0,15.0,0,0.0,1,1.0,0,0,8,0,0
1960,66,BRM,23,8,8.0,1.0,6.0435,12.3913,-6.3478,0,0.0,18,0.7826,1,0,4,8,0
1960,170,Cooper-Climax,55,9,102.0,11.3333,9.4545,9.3818,0.0727,0,0.0,22,0.4,15,6,1,48,0
1960,6,Ferrari,25,8,43.0,5.375,7.6,7.36,0.24,0,0.0,9,0.36,5,1,3,26,0
1960,32,Team Lotus,33,8,52.0,6.5,8.9394,9.4545,-0.5152,0,0.0,13,0.3939,7,2,2,34,0
1960,104,Behra-Porsche,2,2,0.0,0.0,15.0,11.0,4.0,0,0.0,0,0.0,0,0,8,0,0
1960,105,Maserati,7,3,0.0,0.0,17.4286,17.1429,0.2857,0,0.0,4,0.5714,0,0,11,0,0
1960,167,Cooper-Maserati,21,8,3.0,0.375,13.8095,14.9524,-1.1429,0,0.0,14,0.6667,0,0,5,3,0
1960,171,Cooper-Castellotti,6,5,3.0,0.6,12.6667,13.5,-0.8333,0,0.0,3,0.5,0,0,6,3,0
1960,101,JBW,3,3,0.0,0.0,8.3333,14.3333,-6.0,0,0.0,2,0.6667,0,0,12,0,0
1960,106,Scarab,9,5,0.0,0.0,10.5556,18.6667,-8.1111,0,0.0,8,0.8889,0,0,9,0,0
1960,107,Watson,8,1,14.0,14.0,7.375,16.125,-8.75,0,0.0,4,0.5,2,1,,,0
1960,108,Epperly,6,1,4.0,4.0,19.6667,18.8333,0.8333,0,0.0,4,0.6667,1,0,,,0
1960,109,Phillips,1,1,3.0,3.0,8.0,4.0,4.0,0,0.0,0,0.0,0,0,,,0
1960,110,Lesovsky,1,1,2.0,2.0,17.0,5.0,12.0,0,0.0,0,0.0,0,0,,,0
1960,111,Trevis,2,1,1.0,1.0,17.5,7.5,10.0,0,0.0,0,0.0,0,0,,,0
1960,112,Meskowski,2,1,0.0,0.0,23.0,12.0,11.0,0,0.0,0,0.0,0,0,,,0
1960,113,Kurtis Kraft,8,1,0.0,0.0,20.75,21.875,-1.125,0,0.0,6,0.75,0,0,,,0
1960,114,Kuzma,2,1,0.0,0.0,29.0,12.5,16.5,0,0.0,0,0.0,0,0,,,0
1960,115,Christensen,1,1,0.0,0.0,23.0,18.0,5.0,0,0.0,1,1.0,0,0,,,0
1960,116,Ewing,2,1,0.0,0.0,15.5,26.5,-11.0,0,0.0,2,1.0,0,0,,,0
1960,117,Aston Martin,3,2,0.0,0.0,11.3333,17.0,-5.6667,0,0.0,2,0.6667,0,0,10,0,0
1960,118,Vanwall,1,1,0.0,0.0,13.0,18.0,-5.0,0,0.0,1,1.0,0,0,13,0,0
1960,95,Porsche,2,1,1.0,1.0,11.0,6.5,4.5,0,0.0,0,0.0,0,0,7,1,0
1959,32,Team Lotus,19,8,5.0,0.625,11.3158,14.6842,-3.3684,0,0.0,14,0.7368,0,0,4,5,0
