race_ID,constructor_ID,year,round,circuit_name,constructor_name,entries,points,avg_starting_position,avg_finish_position,avg_position_change,q3_starts,q3_rate,issues,issue_rate,podiums,wins,is_miami,is_mclaren,is_2026_current_form
10,1,2009,10,Hungarian Grand Prix,McLaren,2,14.0,5.0,3.0,2.0,2,1.0,0,0.0,1,1,0,1,0
10,2,2009,10,Hungarian Grand Prix,BMW Sauber,2,0.0,16.5,12.0,4.5,0,0.0,0,0.0,0,0,0,0,0
10,3,2009,10,Hungarian Grand Prix,Williams,2,5.0,7.0,6.5,0.5,2,1.0,0,0.0,0,0,0,0,0
10,4,2009,10,Hungarian Grand Prix,Renault,2,0.0,7.5,15.0,-7.5,1,0.5,1,0.5,0,0,0,0,0
10,6,2009,10,Hungarian Grand Prix,Ferrari,2,8.0,3.5,11.0,-7.5,1,0.5,1,0.5,1,0,0,0,0
10,7,2009,10,Hungarian Grand Prix,Toyota,2,4.0,12.0,7.0,5.0,0,0.0,0,0.0,0,0,0,0,0
10,10,2009,10,Hungarian Grand Prix,Force India,2,0.0,16.5,16.5,0.0,0,0.0,1,0.5,0,0,0,0,0
10,9,2009,10,Hungarian Grand Prix,Red Bull,2,6.0,2.5,10.0,-7.5,2,1.0,1,0.5,1,0,0,0,0
10,23,2009,10,Hungarian Grand Prix,Brawn,2,2.0,10.0,8.5,1.5,1,0.5,0,0.0,0,0,0,0,0
10,5,2009,10,Hungarian Grand Prix,Toro Rosso,2,0.0,14.5,15.5,-1.0,0,0.0,0,0.0,0,0,0,0,0
11,1,2009,11,European Grand Prix,McLaren,2,13.0,1.5,3.0,-1.5,2,1.0,0,0.0,1,0,0,1,0
11,2,2009,11,European Grand Prix,BMW Sauber,2,1.0,10.5,9.5,1.0,1,0.5,0,0.0,0,0,0,0,0
11,3,2009,11,European Grand Prix,Williams,2,4.0,12.0,11.5,0.5,1,0.5,0,0.0,0,0,0,0,0
11,4,2009,11,European Grand Prix,Renault,2,3.0,11.0,10.5,0.5,1,0.5,0,0.0,0,0,0,0,0
11,6,2009,11,European Grand Prix,Ferrari,2,6.0,13.0,10.0,3.0,1,0.5,0,0.0,1,0,0,0,0
11,7,2009,11,European Grand Prix,Toyota,2,0.0,15.5,13.5,2.0,0,0.0,0,0.0,0,0,0,0,0
11,10,2009,11,European Grand Prix,Force India,2,0.0,14.0,11.0,3.0,0,0.0,0,0.0,0,0,0,0,0
11,9,2009,11,European Grand Prix,Red Bull,2,0.0,6.5,14.5,-8.0,2,1.0,1,0.5,0,0,0,0,0
11,23,2009,11,European Grand Prix,Brawn,2,12.0,4.0,4.0,0.0,2,1.0,0,0.0,1,1,0,0,0
11,5,2009,11,European Grand Prix,Toro Rosso,2,0.0,17.0,17.5,-0.5,0,0.0,1,0.5,0,0,0,0,0
12,1,2009,12,Belgian Grand Prix,McLaren,2,3.0,13.5,12.5,1.0,0,0.0,1,0.5,0,0,0,1,0
12,2,2009,12,Belgian Grand Prix,BMW Sauber,2,9.0,4.0,4.5,-0.5,2,1.0,0,0.0,0,0,0,0,0
12,3,2009,12,Belgian Grand Prix,Williams,2,1.0,14.0,10.5,3.5,1,0.5,0,0.0,0,0,0,0,0
12,4,2009,12,Belgian Grand Prix,Renault,2,0.0,16.0,16.5,-0.5,0,0.0,2,1.0,0,0,0,0,0
12,6,2009,12,Belgian Grand Prix,Ferrari,2,10.0,13.0,7.5,5.5,1,0.5,0,0.0,1,1,0,0,0
12,7,2009,12,Belgian Grand Prix,Toyota,2,0.0,4.5,13.0,-8.5,2,1.0,1,0.5,0,0,0,0,0
12,10,2009,12,Belgian Grand Prix,Force India,2,8.0,6.0,6.5,-0.5,1,0.5,0,0.0,1,0,0,0,0
12,9,2009,12,Belgian Grand Prix,Red Bull,2,6.0,8.5,6.0,2.5,2,1.0,0,0.0,1,0,0,0,0
12,23,2009,12,Belgian Grand Prix,Brawn,2,2.0,9.0,12.0,-3.0,1,0.5,1,0.5,0,0,0,0,0
12,5,2009,12,Belgian Grand Prix,Toro Rosso,2,0.0,16.5,16.0,0.5,0,0.0,1,0.5,0,0,0,0,0
13,1,2009,13,Italian Grand Prix,McLaren,2,3.0,2.5,9.0,-6.5,2,1.0,1,0.5,0,0,0,1,0
13,2,2009,13,Italian Grand Prix,BMW Sauber,2,2.0,14.0,13.0,1.0,0,0.0,1,0.5,0,0,0,0,0
13,3,2009,13,Italian Grand Prix,Williams,2,0.0,17.5,13.0,4.5,0,0.0,0,0.0,0,0,0,0,0
13,4,2009,13,Italian Grand Prix,Renault,2,4.0,10.0,10.0,0.0,1,0.5,0,0.0,0,0,0,0,0
13,6,2009,13,Italian Grand Prix,Ferrari,2,6.0,8.5,6.0,2.5,1,0.5,0,0.0,1,0,0,0,0
13,7,2009,13,Italian Grand Prix,Toyota,2,0.0,13.5,12.5,1.0,0,0.0,0,0.0,0,0,0,0,0
13,10,2009,13,Italian Grand Prix,Force India,2,5.0,4.5,10.5,-6.0,2,1.0,1,0.5,0,0,0,0,0
